x_B,P_GPa,k,S_cc,S_cc0_M2
0.9,0,2.1300,1.128331e-01,2.463845e+07
0.9,0,2.1400,9.997676e-02,2.463845e+07
0.9,0,2.1800,9.765869e-02,2.463845e+07
0.9,0,2.2000,7.584604e-02,2.463845e+07
0.9,0,2.2200,7.955675e-02,2.463845e+07
0.9,0,2.2500,1.190206e-01,2.463845e+07
0.9,0,2.3100,1.032370e-01,2.463845e+07
0.9,0,2.3200,1.538417e-01,2.463845e+07
0.9,0,2.3400,1.009361e-01,2.463845e+07
0.9,0,2.4100,9.023995e-02,2.463845e+07
0.9,0,2.4200,1.020966e-01,2.463845e+07
0.9,0,2.4700,9.989200e-02,2.463845e+07
0.9,0,2.5300,1.369331e-01,2.463845e+07
0.9,0,2.6800,1.110772e-01,2.463845e+07
0.6,10,0.3800,6.260214e-02,5.056294e-02
0.6,10,0.4400,4.878546e-02,5.056294e-02
0.6,10,0.4600,2.758142e-02,5.056294e-02
0.6,10,0.5800,6.668498e-02,5.056294e-02
0.6,10,0.6000,3.827743e-02,5.056294e-02
0.6,10,0.6400,3.865638e-02,5.056294e-02
0.6,10,0.7400,5.569802e-02,5.056294e-02
0.6,10,0.7600,5.888240e-02,5.056294e-02
0.6,10,0.8800,7.174934e-02,5.056294e-02
0.6,10,0.8900,5.810022e-02,5.056294e-02
0.6,10,0.9200,6.354916e-02,5.056294e-02
0.6,10,0.9600,4.951766e-02,5.056294e-02
0.6,10,0.9900,6.571109e-02,5.056294e-02
0.6,10,1.0200,5.760242e-02,5.056294e-02
0.6,10,1.0600,6.890234e-02,5.056294e-02
0.6,10,1.0900,6.379763e-02,5.056294e-02
0.6,10,1.1400,5.749066e-02,5.056294e-02
0.6,10,1.1600,7.479689e-02,5.056294e-02
0.6,10,1.1900,6.786766e-02,5.056294e-02
0.6,10,1.2300,8.655665e-02,5.056294e-02
0.6,10,1.2500,8.473335e-02,5.056294e-02
0.6,10,1.2700,8.657781e-02,5.056294e-02
0.6,10,1.3100,8.856925e-02,5.056294e-02
0.6,10,1.3200,9.666233e-02,5.056294e-02
0.6,10,1.3300,9.443701e-02,5.056294e-02
0.6,10,1.3700,9.277832e-02,5.056294e-02
0.6,10,1.3800,9.554254e-02,5.056294e-02
0.6,10,1.4000,9.402533e-02,5.056294e-02
0.6,10,1.4300,1.075313e-01,5.056294e-02
0.6,10,1.4400,1.112528e-01,5.056294e-02
0.6,10,1.4500,1.025577e-01,5.056294e-02
0.6,10,1.4700,1.217936e-01,5.056294e-02
0.6,10,1.4800,1.129585e-01,5.056294e-02
0.6,10,1.5000,1.175581e-01,5.056294e-02
0.6,10,1.5100,1.351994e-01,5.056294e-02
0.6,10,1.5200,1.629723e-01,5.056294e-02
0.6,10,1.5300,1.274650e-01,5.056294e-02
0.6,10,1.5800,1.601113e-01,5.056294e-02
