frame,timestep,group,system,region,element,n_atoms,target_z,z_tolerance,msd,msd_x,msd_y,msd_z,drift_x,drift_y,drift_z
6896,689600,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,12.12749702587059,6.037338630650087,5.387793435856763,0.7023649593637341,-0.007553984947088033,-0.001389202388081046,0.07222467993841519
6897,689700,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,12.17293573495401,5.951581160455508,5.468936573669009,0.7524180008294925,-0.007615027935554686,-0.001399785471006609,0.07278961959920593
6898,689800,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.93584133962899,5.728900525713033,5.471855268165508,0.73508554575045,-0.008014972097458717,-0.001472338568790477,0.07656008917965806
6899,689900,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.68071878418162,5.807949945920754,5.343365632214248,0.5294032060466173,-0.008203147720426962,-0.001504635369572682,0.07833364132292076
6900,690000,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.93105627925086,6.129338049248761,5.155574939157864,0.6461432908442384,-0.007788854332202888,-0.001430459008521012,0.07443036931719149
6901,690100,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.85253010674761,5.86687156430959,5.334456751704194,0.6512017907338221,-0.007748882931086776,-0.001424816876051338,0.07405400858267797
6902,690200,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.82922181880415,5.680941408983096,5.441712786592237,0.7065676232288188,-0.008755684963228205,-0.001603716306552982,0.08353704746932067
6903,690300,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.7201364912912,5.909266076559786,5.146156082103086,0.66471433262833,-0.008638779671845676,-0.00158232405760117,0.0824436590619726
6904,690400,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.97906716040386,6.131501270233049,5.248699156781842,0.5988667333889665,-0.007139301257182318,-0.001316838546266297,0.06831746997194799
6905,690500,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.99558933460025,6.061234794984483,5.322308883898251,0.6120456557175179,-0.006959940782254037,-0.001283798838249695,0.06662588876133668
6906,690600,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.39598746001972,5.850805473048236,4.908618309348903,0.6365636776225853,-0.008377741034408359,-0.001536827002793117,0.07998096219673201
6907,690700,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.3323644273205,5.744354635495742,4.980302753425708,0.6077070383990505,-0.008696554611749896,-0.001594021628235964,0.08298553253283814
6908,690800,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.55421273864852,5.856092919189656,5.07568108559033,0.622438733868535,-0.007556617965039258,-0.001389624813803891,0.07224773275992646
6909,690900,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.30542214414696,5.628587567509466,5.063288962936177,0.613545613701313,-0.00708750486066112,-0.00130615053699934,0.06782298461932257
6910,691000,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.4463250601018,5.711666356238347,5.145002809720493,0.5896558941429634,-0.008193536666670553,-0.001503532592780132,0.07824990469924487
6911,691100,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,12.16189406166097,5.929103610223745,5.593925185160106,0.6388652662771217,-0.008960083770540805,-0.001640701389298727,0.08547054109502383
6912,691200,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.5769727468655,5.741091204942805,5.210031209431665,0.6258503324910317,-0.007841279230495601,-0.001442548116989073,0.07492528507878049
6913,691300,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.69685384789933,5.693233109217725,5.357148109985865,0.646472628695743,-0.006590302492079481,-0.001218198232679768,0.06314074098028044
6914,691400,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.92242582801716,5.779732712349785,5.341160224962892,0.801532890704487,-0.007586292628729119,-0.001394436676516619,0.07253045534038804
6915,691500,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.64072559141721,5.850641324073705,5.188089573574856,0.601994693768652,-0.009149192310892396,-0.001674103802773885,0.08724347338216631
6916,691600,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.87004446081727,5.981363626052105,5.225378808728756,0.6633020260364042,-0.008607856650701962,-0.001577147547154212,0.08215301642699302
6917,691700,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.89095854491479,6.07425350528549,5.124383542006428,0.6923214976228761,-0.007148406925018058,-0.001317149946705953,0.06839820703216759
6918,691800,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,12.00309749013388,5.989554042616349,5.358370041131827,0.6551734063857086,-0.007625102615427259,-0.001401545902609769,0.07288925603225493
6919,691900,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,12.29198506582056,6.122023164657822,5.444289222990381,0.7256726781723599,-0.008752270894523129,-0.001602808199272943,0.08351173217191032
6920,692000,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,12.27466382425031,6.097138508512349,5.515812638405142,0.661712677332815,-0.007954305252427574,-0.00146105361516824,0.07599856824067075
6921,692100,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,11.68915305112535,5.796965895759306,5.361290629432626,0.5308965259334183,-0.007079390299478128,-0.001305484267565049,0.06775741108446454
6922,692200,FeB_interface_Fe,FeB,interface,Fe,48,0.47349;0.87591,0.01,12.06139214678929,6.041183943975135,5.455848054623819,0.5643601481903395,-0.007672506175458338,-0.001410906638495746,0.07333889468956301
