route,species_a,species_b,type_a,type_b,x_A,x_B_pair,rho_A,rho_B_pair,rho_tot,k,S_cc,S_AA,S_AB,S_BB_pair,S_cc0,n_frames,frac_tag,dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.29000000e+00,1.03870375e-01,1.23368142e-02,-1.51318871e-02,2.80050326e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.30000000e+00,9.37712628e-02,1.12445871e-02,-1.33960100e-02,2.56831132e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.31000000e+00,9.18790079e-02,1.09817367e-02,-1.30801749e-02,2.61039744e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.32000000e+00,1.03777337e-01,1.23531692e-02,-1.50670752e-02,2.79515294e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.33000000e+00,1.05425366e-01,1.25494050e-02,-1.52569061e-02,2.87899414e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.34000000e+00,9.72563605e-02,1.16946789e-02,-1.38160434e-02,2.67455680e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.35000000e+00,1.02416914e-01,1.23040209e-02,-1.46482547e-02,2.75509112e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.36000000e+00,1.00404009e-01,1.20341959e-02,-1.43585473e-02,2.74719297e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.37000000e+00,1.03981021e-01,1.23392652e-02,-1.50160975e-02,2.92611824e-02,,335,last0.5,SUPERCELL.dump
reciprocal,Fe,B,1,2,2.00000000e-01,8.00000000e-01,2.66831929e-02,1.06732772e-01,1.33415964e-01,1.38000000e+00,1.12460227e-01,1.35636841e-02,-1.60305836e-02,2.98361266e-02,,335,last0.5,SUPERCELL.dump
