r_A g_B_B g_B_Fe g_Fe_Fe
4.509999999999999787e+00 1.070607446180687816e+00 9.384633092392876685e-01 9.257878654625525394e-01
4.530000000000000249e+00 1.075668310498411273e+00 9.519788318671849048e-01 9.141659707127038903e-01
4.550000000000000711e+00 1.074515717162692896e+00 9.617794261352033969e-01 8.826216779430360315e-01
4.570000000000000284e+00 1.074890435890607066e+00 9.710535352152149802e-01 8.708017461046725360e-01
4.589999999999999858e+00 1.074006799208970575e+00 9.824686705955968380e-01 8.872382778225361699e-01
4.610000000000000320e+00 1.072176647279070583e+00 9.899314970965699123e-01 8.623215422608994096e-01
4.629999999999999893e+00 1.065556399839590274e+00 9.951788898417153195e-01 8.490045218662444215e-01
4.650000000000000355e+00 1.063922170553905922e+00 1.007885532470935264e+00 8.545614574743273240e-01
4.669999999999999929e+00 1.054951305749089130e+00 1.018598122591758637e+00 8.707583122716204826e-01
4.689999999999999503e+00 1.050579109175652226e+00 1.028395448710376359e+00 8.579799363367047738e-01
4.709999999999999964e+00 1.046182793328179539e+00 1.040891524362177245e+00 8.554868683719245581e-01
4.730000000000000426e+00 1.042578962730698722e+00 1.042088076169741084e+00 8.395720453164162711e-01
4.750000000000000000e+00 1.035540383402872688e+00 1.051855099291117090e+00 8.607629674788674912e-01
4.769999999999999574e+00 1.031836202132429214e+00 1.060670869625486290e+00 8.617565067533077272e-01
4.790000000000000036e+00 1.013578576721799074e+00 1.073337046599104783e+00 8.596626978173754763e-01
4.810000000000000497e+00 1.010168207880989710e+00 1.075836533693864450e+00 8.756670968471349514e-01
4.830000000000000071e+00 9.983606903356350148e-01 1.085250925414661838e+00 8.673374932860745679e-01
4.849999999999999645e+00 9.914743945273937209e-01 1.089170719927713860e+00 8.795350350684333351e-01
4.870000000000000107e+00 9.817964709459079398e-01 1.092362618233380100e+00 8.800194364286907378e-01
4.890000000000000568e+00 9.713314684563166823e-01 1.094574866936566027e+00 9.107093946687561115e-01
4.910000000000000142e+00 9.700798178110923153e-01 1.099964898555178650e+00 9.024148447678042029e-01
4.929999999999999716e+00 9.660883159236273166e-01 1.102491936995354305e+00 9.096261289303534392e-01
4.950000000000000178e+00 9.622082222443917310e-01 1.102215661283976855e+00 9.261646487218169188e-01
4.970000000000000639e+00 9.518433148549466649e-01 1.108117340798738581e+00 9.357812996333789712e-01
4.990000000000000213e+00 9.478208932489498029e-01 1.107622663542252361e+00 9.383173139931245688e-01
5.009999999999999787e+00 9.441277304024612294e-01 1.102458008445163173e+00 9.459146325744853812e-01
5.030000000000000249e+00 9.427439190363612331e-01 1.106604340609883108e+00 9.518768685585677902e-01
5.050000000000000711e+00 9.388919331783220912e-01 1.096107141037402588e+00 9.756026185741167867e-01
5.070000000000000284e+00 9.349327677094325661e-01 1.094341148203575420e+00 9.685992947231615302e-01
5.089999999999999858e+00 9.354268570221730972e-01 1.089844656486258057e+00 9.874136024921473798e-01
5.110000000000000320e+00 9.337485861279343213e-01 1.086676928456589364e+00 9.991218468912633766e-01
5.129999999999999893e+00 9.335166149959915893e-01 1.077385368269539123e+00 1.015614090869900732e+00
5.150000000000000355e+00 9.370185302244105063e-01 1.075695065351262247e+00 1.029038227715809661e+00
5.169999999999999929e+00 9.387845963568324237e-01 1.069638984222494926e+00 1.025910865783046022e+00
5.189999999999999503e+00 9.373401178018961888e-01 1.057266215636224693e+00 1.029923902069430630e+00
5.209999999999999964e+00 9.411964879127709960e-01 1.050530165984932651e+00 1.035476338674730101e+00
5.230000000000000426e+00 9.455468441494864207e-01 1.045351011415329712e+00 1.045279433109780332e+00
5.250000000000000000e+00 9.439159149854425834e-01 1.040743575285870248e+00 1.046822810483131638e+00
5.269999999999999574e+00 9.486544304083666113e-01 1.029071024104416310e+00 1.056621900772390488e+00
5.290000000000000036e+00 9.573124597880903197e-01 1.022771833263189212e+00 1.058811719517323668e+00
5.310000000000000497e+00 9.555597554716253050e-01 1.016853047691258505e+00 1.066886661936924385e+00
5.330000000000000071e+00 9.603071905219753290e-01 1.007837680032127370e+00 1.081800533634063699e+00
5.349999999999999645e+00 9.651229036864196198e-01 1.004659166061779629e+00 1.064164855600829185e+00
5.370000000000000107e+00 9.687704026917449696e-01 9.945572291009884269e-01 1.073328245222188837e+00
5.390000000000000568e+00 9.722249576011972039e-01 9.884049358357678283e-01 1.076877075640776393e+00
